Syndrome_id,SYMBOL
Syndrome 3,F7
Syndrome 3,HBG1
Syndrome 3,INPPL1
Syndrome 3,KCNH2
Syndrome 3,LAS1L
Syndrome 3,NQO2
Syndrome 3,PPARGC1A
Syndrome 3,PARP4
Syndrome 3,ARHGAP29
Syndrome 3,ART1
Syndrome 3,ATP6V1E1
Syndrome 3,B3GAT1
Syndrome 3,BAZ2B
Syndrome 3,CALCOCO2
Syndrome 3,CDK2AP1
Syndrome 3,CST6
Syndrome 3,DYRK4
Syndrome 3,FADS6
Syndrome 3,FBXO8
Syndrome 3,FOXA2
Syndrome 3,FUT1
Syndrome 3,HBE1
Syndrome 3,HBM
Syndrome 3,HBQ1
Syndrome 3,HBZ
Syndrome 3,IL1RAP
Syndrome 3,IRF2BP1
Syndrome 3,KBTBD6
Syndrome 3,LRRC25
Syndrome 3,MIR25
Syndrome 3,MRPL14
Syndrome 3,MRPL41
Syndrome 3,MS4A13
Syndrome 3,MT4
Syndrome 3,NGB
Syndrome 3,NISCH
Syndrome 3,POLR2J
Syndrome 3,PXMP4
Syndrome 3,RORB
Syndrome 3,SLCO1A2
Syndrome 3,SNRPB2
Syndrome 3,SNRPG
Syndrome 3,SRPK3
Syndrome 3,STX6
Syndrome 3,TBC1D25
Syndrome 3,TEAD2
Syndrome 3,TFAP4
Syndrome 3,TMED2
Syndrome 3,TNRC6C
Syndrome 3,UBXN2A
Syndrome 3,USP22
Syndrome 3,USP7
Syndrome 3,WNT2
Syndrome 3,ZNF207
Syndrome 3,ZNF330
